PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
zzG9z,3r2k1/5p1p/p5p1/6P1/Pq5P/1P2Q3/2P5/1K2R3 w - - 5 31,e3e7 d8d1 e1d1 b4e7,1247,75,86,1385,advantage deflection endgame short,https://lichess.org/Fx3eqHO3#61,
zzGCG,r7/5qpQ/1p3k2/1P3P2/p3p3/2P1B3/2P5/2K5 b - - 2 39,a4a3 h7h4 f6f5 h4f4 f5g6 f4e4,2147,78,81,47,advantage deflection endgame exposedKing long,https://lichess.org/j1MiMdKY/black#78,
zzGDj,8/8/4pk2/1B1p1p2/1P3Pb1/4P3/5K2/8 b - - 0 53,f6e7 b5e2 g4e2 f2e2,2009,78,88,726,bishopEndgame crushing endgame master short,https://lichess.org/PwIOicJi/black#106,
zzGHq,1r3rk1/3p3n/1p2pq1p/2p1N1p1/P7/2QR4/2P2PPP/1R4K1 w - - 4 30,e5d7 f6f2 g1h1 f2f1 b1f1 f8f1,1000,78,89,620,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/XN35hiCc#59,
zzGLG,r3r2k/1p2b3/pP2R2p/n1PpP3/3P1P1P/B1N5/8/4K2R w - - 1 43,h1g1 e7h4 e1e2 e8e6,1611,344,100,4,discoveredAttack equality middlegame short,https://lichess.org/0ZfG5BtC#85,
zzGNp,4rnk1/1p3pp1/2b5/r4PP1/3R1K2/P7/1B1R4/5B2 w - - 3 38,d4d8 e8e4 f4g3 a5f5,2183,78,89,1017,advantage deflection master middlegame short,https://lichess.org/ytdR5nBT#75,
zzGOF,r1b2rk1/1p3pp1/p3pq1p/3Pn3/3Q4/P1N5/1P2BPPP/R4RK1 w - - 1 17,f2f4 e5f3 e2f3 f6d4,902,79,89,799,advantage discoveredAttack kingsideAttack middlegame short,https://lichess.org/QRTXmRjB#33,Sicilian_Defense Sicilian_Defense_Staunton-Cochrane_Variation
zzGVt,r1b2knr/ppp1bpN1/3p3p/q3n3/4PB2/2PB1Q2/PP3PPP/RN3RK1 w - - 1 14,f3g3 e5d3 g3d3 f8g7,1633,117,32,27,advantage opening short,https://lichess.org/oAB9lDez#27,Philidor_Defense Philidor_Defense_Other_variations
zzGaS,8/1R3pbk/6p1/1Q1p1r1p/P6P/B3PbPq/5P2/4R1K1 w - - 5 29,b5f1 h3h1,848,95,95,514,master mate mateIn1 middlegame oneMove,https://lichess.org/2W0p3FqB#57,
zzGar,r1b1k2r/ppppqppp/2n2n2/b3p3/2B1P3/1QP2N2/P2P1PPP/RNB2RK1 w kq - 5 8,c4f7 e7f7 b3f7 e8f7,552,111,78,357,advantage opening short,https://lichess.org/XoWemt7q#15,Italian_Game Italian_Game_Evans_Gambit
zzGbn,r4rk1/pppRb1p1/2n2p1p/2P1p3/1P6/P1B2N2/2P2PPP/5RK1 b - - 2 15,a8c8 b4b5 g8f7 b5c6,1523,75,88,1663,crushing middlegame pin short,https://lichess.org/CHI74KU9/black#30,Bishops_Opening Bishops_Opening_Berlin_Defense
zzGbt,8/2k5/6R1/1p5P/pPn5/2PK4/8/8 w - - 1 55,h5h6 c4e5 d3c2 e5g6,941,80,68,82,crushing endgame fork short,https://lichess.org/bjOj8Jbg#109,
zzGgF,r3k2r/ppp2pbp/2nnbqp1/8/Q6P/2NB1N2/PPPB1PP1/R3K2R b KQkq - 2 12,e8c8 d2g5 f6c3 b2c3,1374,75,40,465,advantage master middlegame short trappedPiece,https://lichess.org/39vqMZzg/black#24,Russian_Game Russian_Game_Modern_Attack
zzGlC,2rkr3/pp1b1ppp/8/3p4/Pb6/1P4P1/3qBPP1/2RQKR2 w - - 0 21,d1d2 c8c1,1440,75,97,2821,mate mateIn1 middlegame oneMove pin,https://lichess.org/Vkh3xTqE#41,
zzGnP,2r2rk1/4b1p1/p1p1p1q1/PpPpPb2/1P1BpPBp/4P2P/4QKP1/3RR3 b - - 2 26,g8f7 g4h5 g6h5 e2h5,1002,86,93,615,advantage middlegame pin short,https://lichess.org/Me7cNJF7/black#52,
zzGr3,r2qk2r/ppp3pp/2bbpn2/8/3p4/1P1P1N2/P1PN1PPP/R1BQ1RK1 w kq - 1 11,f3d4 d6h2 g1h2 d8d4,1564,76,94,12547,crushing discoveredAttack kingsideAttack opening short,https://lichess.org/GepfmAmn#21,Scandinavian_Defense Scandinavian_Defense_Other_variations
zzGrO,6k1/3rqpp1/P7/7p/3Q4/2PB1P2/1P4KP/RN2r3 w - - 4 36,d4d7 e7d7 a6a7 d7d3 a7a8q g8h7 a8e4 e1e4,2428,89,88,1023,crushing endgame hangingPiece veryLong,https://lichess.org/CHCY3dbY#71,
zzGtw,8/8/1Np1k3/2Pb1pp1/1p3P2/4K1P1/8/8 b - - 0 48,e6f6 b6d5 c6d5 f4g5,2266,79,81,80,crushing endgame master masterVsMaster short,https://lichess.org/hB9uxiWa/black#96,
zzGyS,6R1/1p6/p1p5/3nBp1k/3P3r/P4K2/1P6/8 b - - 5 39,h4h3 e5g3 f5f4 g8h8 h5g6 h8h3,2149,75,94,3604,crushing defensiveMove endgame long skewer,https://lichess.org/U9ewgt2u/black#78,
zzH20,r3k3/6r1/p1pp2qp/P3pb2/1P3p2/2R2N1P/B4PP1/3Q1KR1 w q - 0 31,c3c6 f5d3 f1e1 g6e4 e1d2 e4c6,1756,76,86,1146,advantage fork long middlegame,https://lichess.org/l38DUSvD#61,
